dialogue_id,speaker,turn,act_1,act_2,act_3
37_00000,SYSTEM,Enjoy the rest of your day.,GOODBYE,,
37_00001,USER,Help me look for some one-way flights please.,INFORM_INTENT,,
37_00001,SYSTEM,What destination did you have in mind?,REQUEST,,
37_00001,USER,I will be traveling to ATL.,INFORM,,
37_00001,SYSTEM,Where did you want to fly out of?,REQUEST,,
37_00001,USER,I'd like to fly out of San Fran if possible.,INFORM,,
37_00001,SYSTEM,Sure. What date did you want to fly out on?,REQUEST,,
37_00001,USER,Let's shoot for the 9th.,INFORM,,
37_00001,SYSTEM,I've found 5 flights that'll fit your needs. There's an Alaska Airlines flight at $196. It takes off at 3:55 pm and has 0 stops.,OFFER,,
37_00001,USER,Let's keep looking. What else is there?,REQUEST_ALTS,,
37_00001,SYSTEM,There's an American Airlines flight with 1 layover at $287. It departs at 2:15 pm.,OFFER,,
37_00001,USER,Which airport is it flying out of?,REQUEST,,
37_00001,SYSTEM,The airport is SFO International Airport.,INFORM,,
37_00001,USER,That seems like a good fit.,SELECT,,
37_00001,SYSTEM,Do you want to purchase tickets for the flight?,OFFER_INTENT,,
37_00001,USER,"No, let's hold off on that. I'd like to search round trip flights first.",INFORM_INTENT,NEGATE_INTENT,
37_00001,SYSTEM,When did you want to fly back then?,REQUEST,,
37_00001,USER,"I'll be heading back on March 11th. Oh, there's one person in my group.",INFORM,,
37_00001,SYSTEM,Okay. The American Airlines flight which leaves at 2:15 pm has a return flight at 11:40 am. The ticket price is $255.,OFFER,,
37_00001,USER,"Okay, let's go with that then. Can you buy the ticket for me?",INFORM_INTENT,SELECT,
37_00001,SYSTEM,"Of course, but let's confirm the details first. You're flying from San Francisco to Atlanta on American Airlines. You want 1 ticket in Economy seating. The flight out is on March 9th at 2:15 pm, and you're returning on March 11th with a flight taking off at 11:40 am.",CONFIRM,,
37_00001,USER,"Yes, that's perfect.",AFFIRM,,
37_00001,SYSTEM,The ticket has been purchased.,NOTIFY_SUCCESS,,
37_00001,USER,Thank you for your assistance.,THANK_YOU,,
37_00001,SYSTEM,Do you need anything else at the moment?,REQ_MORE,,
37_00001,USER,"No, I'm fine. Thank you again.",NEGATE,THANK_YOU,
37_00001,SYSTEM,Enjoy the rest of your day.,GOODBYE,,
37_00002,USER,I'm looking to get some one-way flights for my vacation. Can you find me some flying out of SFO?,INFORM,INFORM_INTENT,
37_00002,SYSTEM,What city are you flying to?,REQUEST,,
37_00002,USER,"I'm going to Philadelphia, and I'd like to fly in Economy seating.",INFORM,,
37_00002,SYSTEM,What date would you like to leave?,REQUEST,,
37_00002,USER,"I want to leave on March 2nd, and can we make the seating Premium Economy?",INFORM,,
37_00002,SYSTEM,There is an Alaska Airlines flight for $436 that leaves at 1:35 pm and has 1 stop.,OFFER,,
37_00002,USER,Are there any other flights?,REQUEST_ALTS,,
37_00002,SYSTEM,There is a Delta Airlines flight for $428 that leaves at 10:55 am and has 1 stop.,OFFER,,
37_00002,USER,What is the arrival time?,REQUEST,,
37_00002,SYSTEM,Arrival time is 10:26 pm.,INFORM,,
37_00002,USER,What airport would I be flying out of?,REQUEST,,
37_00002,SYSTEM,Departure is from SFO International Airport.,INFORM,,
37_00002,USER,Are there any other flights?,REQUEST_ALTS,,
37_00002,SYSTEM,There is a United Airlines flight for $448 that leaves at 12:30 pm and has 1 stop.,OFFER,,
37_00002,USER,That flight sounds good.,SELECT,,
37_00002,SYSTEM,Would you like to book this flight?,OFFER_INTENT,,
37_00002,USER,"No, not right now.",NEGATE_INTENT,,
37_00002,SYSTEM,Can I help with anything else?,REQ_MORE,,
37_00002,USER,How about round trip flights? Return date is March 14th.,INFORM,INFORM_INTENT,
37_00002,SYSTEM,I found 1 United Airlines flight for $457 that leaves at 12:30 pm and returns at 9 pm.,OFFER,,
37_00002,USER,What time would I arrive back at SFO?,REQUEST,,
37_00002,SYSTEM,Return arrival time is 3:01 am.,INFORM,,
37_00002,USER,What airport would I fly out of?,REQUEST,,
37_00002,SYSTEM,Departure is from SFO International Airport.,INFORM,,
37_00002,USER,That flight sounds good.,SELECT,,
37_00002,SYSTEM,Would you like to book this flight?,OFFER_INTENT,,
37_00002,USER,"Yes, let's book it.",AFFIRM_INTENT,,
37_00002,SYSTEM,"Please confirm: United Airlines flight for 1 passenger in Premium Economy seating. Departure is from San Francisco tomorrow at 12:30 pm, returning from Philadelphia on March 14th at 9 pm.",CONFIRM,,
37_00002,USER,That sounds good.,AFFIRM,,
37_00002,SYSTEM,Your ticket has been purchased.,NOTIFY_SUCCESS,,
37_00002,USER,"Thanks for your help, that's all.",THANK_YOU,GOODBYE,
37_00002,SYSTEM,Have a great day.,GOODBYE,,
37_00003,USER,"I want to fly from Philadelphia, in Economy class, can you help me find flights?",INFORM,,INFORM_INTENT
37_00003,SYSTEM,Where are you flying to?,REQUEST,,
37_00003,USER,I'm going to Chicago.,INFORM,,
37_00003,SYSTEM,When will you leave?,REQUEST,,
37_00003,USER,On 6th of March.,INFORM,,
37_00003,SYSTEM,"There is an American Airlines flight with 0 stops, leaving at 10:10 am, at a cost of $112.",OFFER,,
37_00003,USER,Which airports will it fly between?,REQUEST,,
37_00003,SYSTEM,It will travel from PHL International Airport to O'Hare International Airport.,INFORM,,
37_00003,USER,"That sounds good, can you search for round trip flights four one person, getting back on the 8th.",INFORM,,INFORM_INTENT
37_00003,SYSTEM,"I found 1 convenient option, an American Airlines flight departing at 10:10 am, returning at 6:40 pm, at a cost of $128.",OFFER,,
37_00003,USER,Where and when will it arrive?,REQUEST,,
37_00003,SYSTEM,It will arrive at O'Hare International Airport at 11:21 am.,INFORM,,
37_00003,USER,"That's good, can you help me buy tickets?",INFORM_INTENT,SELECT,
37_00003,SYSTEM,"So I'll book an Economy ticket for 1 passenger from Philadelphia to Chicago with American Airlines, leaving next Wednesday at 10:10 am, returning next Friday at 6:40 pm. Is that okay?",CONFIRM,,
37_00003,USER,"Yes, that sounds good.",AFFIRM,,
37_00003,SYSTEM,The reservation was successful.,NOTIFY_SUCCESS,,
37_00003,USER,Thanks a lot.,THANK_YOU,,
37_00003,SYSTEM,Anything else I can help you with?,REQ_MORE,,
37_00003,USER,"No, that's all for now, thanks.",NEGATE,THANK_YOU,
37_00003,SYSTEM,Have a wonderful day!,GOODBYE,,
37_00004,USER,I am looking for one-way flights. Can you help me?,INFORM_INTENT,,
37_00004,SYSTEM,"Certainly. When do you plan on leaving and where will you be leaving from? Also, where do you plan to visit?",REQUEST,,
37_00004,USER,I will be leaving from SD and I am traveling to SFO. I am leaving on the 11th of March.,INFORM,,
37_00004,SYSTEM,I have found 5 suitable flights for you. There is an Alaska Airlines flight that appears to be convenient for your needs. The outbound flight leaves at 11:10 am and has 0 stops. The price of a ticket is $118.,OFFER,,
37_00004,USER,Are there any other available flights?,REQUEST_ALTS,,
37_00004,SYSTEM,There is also an American Airlines flight. The outbound flight leaves at 9:20 pm and it has 0 stops. The price for this ticket is $103.,OFFER,,
37_00004,USER,Are there any other available flights? I would prefer to fly with Delta Airlines and I am actually going to leave on the 5th of March.,INFORM,,REQUEST_ALTS
37_00004,SYSTEM,I have found 1 Delta Airlines flight that is suitable for you. The outbound flight leaves at 7:55 pm and it has 0 stops. The price of the ticket is $115.,OFFER,,
37_00004,USER,That flight sounds good to me. Can you also search round trip flights for me? I want to get back on the 7th.,INFORM,INFORM_INTENT,SELECT
37_00004,SYSTEM,There is a Delta Airlines flight that matches your criteria. The outbound flight leaves at 7:55 pm. The return flight leaves at 5:50 am. The price of the ticket is $168.,OFFER,,
37_00004,USER,Which airport does this flight depart from?,REQUEST,,
37_00004,SYSTEM,The flight departs from SAN International Airport.,INFORM,,
37_00004,USER,Which airport does the flight arrive in and when does my return flight arrive?,REQUEST,,
37_00004,SYSTEM,The destination is SFO International Airport and the return flight arrives at 9:45 am.,INFORM,,
37_00004,USER,That flight sounds good to me. I am only planning to go on a short trip. Can you help me buy tickets?,INFORM_INTENT,SELECT,
37_00004,SYSTEM,Of course. Please confirm the following details: A ticket for the Delta Airlines flight traveling from San Diego to San Francisco that leaves next Tuesday and returns next Thursday. The onward flight leaves at 7:55 pm and the return flight leaves at 5:50 am. There is 1 passenger and the seating is economy class.,CONFIRM,,
37_00004,USER,No. I need tickets for 3 passengers.,INFORM,NEGATE,
37_00004,SYSTEM,Please confirm the revised details: the return date is next Thursday and the number of passengers is 3.,CONFIRM,,
37_00004,USER,Yes that sounds correct.,AFFIRM,,
37_00004,SYSTEM,Your ticket has been confirmed.,NOTIFY_SUCCESS,,
37_00004,USER,Thank you for the help. That is all I need.,THANK_YOU,GOODBYE,
37_00004,SYSTEM,You're welcome. Have a wonderful day.,GOODBYE,,
37_00005,USER,Please find me one way flights.,INFORM_INTENT,,
37_00005,SYSTEM,When is departure?,REQUEST,,
37_00005,USER,Departure is tomorrow.,INFORM,,
37_00005,SYSTEM,What is departure city and arrival city?,REQUEST,,
37_00005,USER,Departure city is Portland and LA is arrival city and I want Economy.,INFORM,,
37_00005,SYSTEM,I found 5. At 10:10 am on Alaska Airlines with 0 stops for $155.,OFFER,,
37_00005,USER,Is there something for 2 people?,INFORM,REQUEST_ALTS,
37_00005,SYSTEM,There is an American Airlines that departs from 7:20 am and 1 stop for $196.,OFFER,,
37_00005,USER,When does it arrive?,REQUEST,,
37_00005,SYSTEM,It arrives at 11:40 am.,INFORM,,
37_00005,USER,What airport and is it refundable?,REQUEST,,
37_00005,SYSTEM,Not refundable and arrival is LAX International Airport.,INFORM,,
37_00005,USER,Is there any other flights available?,REQUEST_ALTS,,
37_00005,SYSTEM,"Yes, a Delta Airlines departs at 9:35 am with 1 stop for $169.",OFFER,,
37_00005,USER,That is good for me.,SELECT,,
37_00005,SYSTEM,Would you like tickets now?,OFFER_INTENT,,
37_00005,USER,"No, hold off on the tickets.",NEGATE_INTENT,,
37_00005,SYSTEM,Is there anything else I can help you with?,REQ_MORE,,
37_00005,USER,"Yes, a round trip ticket to arrive back next Monday.",INFORM,INFORM_INTENT,
37_00005,SYSTEM,I found 1. A Delta Airlines departure at 9:35 am that returns at 6:50 am and the ticket is $197.,OFFER,,
37_00005,USER,What is the departing airport and arrival time?,REQUEST,,
37_00005,SYSTEM,Departs from PDX International Airport arriving at 3:17 pm.,INFORM,,
37_00005,USER,That is what I need.,SELECT,,
37_00005,SYSTEM,Would you like to buy tickets?,OFFER_INTENT,,
37_00005,USER,Yes.,AFFIRM_INTENT,,
37_00005,SYSTEM,Please confirm. Departure city is tomorrow for Portland at 9:35 am next Monday and Los Angeles is arrival city and I want Economy on Delta Airlines with a return departure of 6:50 am for 2.,CONFIRM,,
37_00005,USER,Yes I confirm all. What time do I arrive back?,REQUEST,AFFIRM,
37_00005,SYSTEM,The return time is 12:08 pm.,INFORM,NOTIFY_SUCCESS,
37_00005,USER,Thank for all of your help.,THANK_YOU,,
37_00005,SYSTEM,Is there anything else you need?,REQ_MORE,,
37_00005,USER,No that is all.,NEGATE,THANK_YOU,
37_00005,SYSTEM,Thank you and have a nice day.,GOODBYE,,
37_00006,USER,Can you find me a one-way flight? Preferably on Delta Airlines?,INFORM,INFORM_INTENT,
37_00006,SYSTEM,When did you want to leave and from where? Where are you going?,REQUEST,,
37_00006,USER,I'm leaving on the 1st of March from London to NY.,INFORM,,
37_00006,SYSTEM,I found 1 flight. Delta Airlines leaving at 3:35 pm with 0 stops for $194.,OFFER,,
37_00006,USER,That sounds good.,SELECT,,
37_00006,SYSTEM,Shall I buy a ticket?,OFFER_INTENT,,
37_00006,USER,No. I don't want that one.,NEGATE_INTENT,,
37_00006,SYSTEM,Do you need anything else?,REQ_MORE,,
37_00006,USER,Can you check round ticket flights for two?,INFORM,INFORM_INTENT,
37_00006,SYSTEM,When are you returning?,REQUEST,,
37_00006,USER,I'd like to return this Sunday.,INFORM,,
37_00006,SYSTEM,I found 1 flight. It is on Delta Airlines leaving at 3:35 pm. The return flight leaves at 6:20 pm. It is $218 for the ticket.,OFFER,,
37_00006,USER,That sounds good.,SELECT,,
37_00006,SYSTEM,Shall I book the tickets?,OFFER_INTENT,,
37_00006,USER,"Yes, please do.",AFFIRM_INTENT,,
37_00006,SYSTEM,To verify: The flight is for 2 economy tickets from London to New York on Delta Airlines. It departs today at 3:35 pm and returns the day after tomorrow leaving at 6:20 pm.,CONFIRM,,
37_00006,USER,Yes that's correct.,AFFIRM,,
37_00006,SYSTEM,I have confirmed your tickets.,NOTIFY_SUCCESS,,
37_00006,USER,What time does the onward flight arrive?,REQUEST,,
37_00006,SYSTEM,It arrives at 7:57 pm.,INFORM,,
37_00006,USER,"Perfect. That's all I need, thanks!",THANK_YOU,GOODBYE,
37_00006,SYSTEM,Have a great day.,GOODBYE,,
37_00007,USER,I need you to find me one-way flights out of ATL.,INFORM,INFORM_INTENT,
37_00007,SYSTEM,When are you leaving and where are you going?,REQUEST,,
37_00007,USER,"I am leaving on March 8th to Nairobi, Kenya.",INFORM,,
37_00007,SYSTEM,Search revealed 2 flights. There is an American Airlines flight leaving at 6:45 am with 1 stop. It costs $400.,OFFER,,
37_00007,USER,That works for me. Can you find round trip flights?,INFORM_INTENT,SELECT,
37_00007,SYSTEM,What date is your return flight?,REQUEST,,
37_00007,USER,I am returning on the 10th of this month.,INFORM,,
37_00007,SYSTEM,I found an American Airlines flight with the first flight departing at 6:45 am and the second flight departing at 5:35 am. It costs $453.,OFFER,,
37_00007,USER,That works. Can you book an Economy class for my short trip?,INFORM,INFORM_INTENT,SELECT
37_00007,SYSTEM,You want 1 ticket in Economy class from Atlanta to Nairobi on American Airlines. The departure trip leaves at 6:45 am next Friday and the return trip departs at 5:35 am on March 10th. Is that right?,CONFIRM,,
37_00007,USER,"No, I need 3 tickets.",INFORM,NEGATE,
37_00007,SYSTEM,You need 3 tickets for your flight to Nairobi. Is that right?,CONFIRM,,
37_00007,USER,"Yes, that is correct. Does the airline give refunds and when does the first flight arrive?",REQUEST,,AFFIRM
37_00007,SYSTEM,There are no refunds and the first flight arrives at 10:07 am. Your tickets have been purchased.,INFORM,,NOTIFY_SUCCESS
37_00007,USER,Thanks a lot.,THANK_YOU,,
37_00007,SYSTEM,Do you need anything more?,REQ_MORE,,
37_00007,USER,"No, that is all. Thanks.",NEGATE,THANK_YOU,
37_00007,SYSTEM,Have a good day.,GOODBYE,,
37_00008,USER,I have a trip coming. Can you find me flights that are one way?,INFORM_INTENT,,
37_00008,SYSTEM,Where are you planning to visit? When do you plan on leaving for your trip?,REQUEST,,
37_00008,USER,I am traveling to Vancouver from Las Vegas. I plan on leaving on the 1st.,INFORM,,
37_00008,SYSTEM,There is an American Airlines flight that leaves at 9:30 am from Las Vegas. The flight has 1 stop and the price of the ticket is $232.,OFFER,,
37_00008,USER,Are there any other flights that are available? I prefer to fly with Delta Airlines and I am leaving from Washington.,INFORM,,REQUEST_ALTS
37_00008,SYSTEM,There is a Delta Airlines flight leaving from Washington at 10 am. The flight has 1 stop and the price of the ticket is $281.,OFFER,,
37_00008,USER,That flight sounds good to me.,SELECT,,
37_00008,SYSTEM,Do you want to buy tickets for it?,OFFER_INTENT,,
37_00008,USER,"No, I do not want to buy a ticket. Can you search for flights coming back for me?",INFORM_INTENT,NEGATE_INTENT,
37_00008,SYSTEM,When are you coming back?,REQUEST,,
37_00008,USER,I plan on getting back on the 3rd of this month.,INFORM,,
37_00008,SYSTEM,There is a Delta Airlines flight that leaves at 10 am and returns at 2:50 am. The price of the ticket is $297.,OFFER,,
37_00008,USER,Are there any other available flights?,REQUEST_ALTS,,
37_00008,SYSTEM,"Sorry, I wasn't able to find any other available flights. Shall I help you with anything else?",NOTIFY_FAILURE,REQ_MORE,
37_00008,USER,"No, that is all. Thanks for your help.",NEGATE,THANK_YOU,
37_00008,SYSTEM,Have a wonderful day.,GOODBYE,,
37_00009,USER,"I'm looking for a one-way flight from NY, can you help me?",INFORM,INFORM_INTENT,
37_00009,SYSTEM,"Where would you like to visit, and when do you plan on leaving?",REQUEST,,
37_00009,USER,I'd like to visit Portland and leave on the 1st of March.,INFORM,,
37_00009,SYSTEM,I've found a flight with American Airlines that departs at 4:45 pm and has 1 stop. The price of a ticket is $284.,OFFER,,
37_00009,USER,Are refunds allowed for the ticket?,REQUEST,,
37_00009,SYSTEM,"The ticket is not refundable, unfortunately.",INFORM,,
37_00009,USER,Okay. This flight will do.,SELECT,,
37_00009,SYSTEM,Would you like me to buy a ticket for you?,OFFER_INTENT,,
37_00009,USER,"No, thank you. I don't want to buy a ticket. Do a search for round-trip flights.",INFORM_INTENT,NEGATE_INTENT,
37_00009,SYSTEM,When would you like to return?,REQUEST,,
37_00009,USER,I like to come back by this Sunday.,INFORM,,
37_00009,SYSTEM,"There is a flight with American Airlines that departs at 4:45 pm, and the returning flight departs at 7:20 am. One ticket is $310.",OFFER,,
37_00009,USER,That sounds great.,SELECT,,
37_00009,SYSTEM,Should I buy a ticket for you?,OFFER_INTENT,,
37_00009,USER,"Yes, I'd like you to secure a ticker. Thank you.",AFFIRM_INTENT,,
37_00009,SYSTEM,To confirm: You'd like 1 ticket in Economy seating for the American Airlines flight that departs today from New York to Portland at 4:45 pm and a returning flight for the day after tomorrow that departs at 7:20 am?,CONFIRM,,
37_00009,USER,"Yes, that is correct. When will I arrive?",REQUEST,AFFIRM,
37_00009,SYSTEM,Your ticket has been purchased. Your returning flight arrives at 8:21 pm.,INFORM,NOTIFY_SUCCESS,
37_00009,USER,Thank you so much for your help. That'll be all.,THANK_YOU,GOODBYE,
37_00009,SYSTEM,Enjoy your day.,GOODBYE,,
37_00010,USER,Can you help me find a one-way flight?,INFORM_INTENT,,
37_00010,SYSTEM,"Where are you leaving from, and when? What is your destination?",REQUEST,,
37_00010,USER,I'm leaving from Phoenix to Sydney on the 2nd of March.,INFORM,,
37_00010,SYSTEM,There's an American Airlines Flight that leaves at 7:35 am and has 1 stop. The ticket costs $279.,OFFER,,
37_00010,USER,Are there other options?,REQUEST_ALTS,,
37_00010,SYSTEM,There's a Delta Airlines Flight that leaves at 11:55 am and has 1 stop. The ticket costs $280.,OFFER,,
37_00010,USER,What is the destination airport?,REQUEST,,
37_00010,SYSTEM,The flight will arrive at Kingsford Smith International Airport.,INFORM,,
37_00010,USER,When will it arrive?,REQUEST,,
37_00010,SYSTEM,It will arrive at 4:01 pm.,INFORM,,
37_00010,USER,Sounds good. Can you help me find a round trip flight?,INFORM_INTENT,SELECT,
37_00010,SYSTEM,When would you like to return?,REQUEST,,
37_00010,USER,I'd like to return on the 4th.,INFORM,,
37_00010,SYSTEM,"There's a Delta Airlines flight. The departing flight is at 11:55 am, and the return flight is at 5:50 pm. The ticket costs $318.",OFFER,,
37_00010,USER,What is the destination airport?,REQUEST,,
37_00010,SYSTEM,The flight will arrive at Kingsford Smith International Airport.,INFORM,,
37_00010,USER,Sounds good.,SELECT,,
37_00010,SYSTEM,Can I help you with anything else?,REQ_MORE,,
37_00010,USER,Can you help me buy a ticket? I just want a short trip.,INFORM_INTENT,,
37_00010,SYSTEM,"So you'd like 1 Economy class seat on a roundtrip flight from Phoenix to Sydney? You'll be flying with Delta Airlines. The departure is tomorrow at 11:55 am, and the return flight is at 5:50 pm next Monday.",CONFIRM,,
37_00010,USER,"Sounds good. When will the departing flight arrive, and which airport will it depart from?",REQUEST,,AFFIRM
37_00010,SYSTEM,"Your ticket has been confirmed. The flight will arrive at 4:01 pm, and will depart from Sky Harbor International Airport.",INFORM,,NOTIFY_SUCCESS
37_00010,USER,Thanks.,THANK_YOU,,
37_00010,SYSTEM,Can I help you with anything else?,REQ_MORE,,
37_00010,USER,"No, thank you.",NEGATE,THANK_YOU,
37_00010,SYSTEM,Have a nice day.,GOODBYE,,
37_00011,USER,locate one-way flights please.,INFORM_INTENT,,
37_00011,SYSTEM,"Sure, where would you like to fly to?",REQUEST,,
37_00011,USER,Los Angeles would be a fun place to go.,INFORM,,
37_00011,SYSTEM,"Ok, great. When would you like to leave?",REQUEST,,
37_00011,USER,We would like to leave on March 10th. There will be three people traveling in my party.,INFORM,,
37_00011,SYSTEM,"ok, where would you like to depart from?",REQUEST,,
37_00011,USER,Leave from Paris please.,INFORM,,
37_00011,SYSTEM,"one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",OFFER,,
37_00011,USER,Give me more options please.,REQUEST_ALTS,,
37_00011,SYSTEM,"Sure, How about, American Airlines outbound flight leaving at 4:05 am with 1 layover stop. The ticket price is $393.",OFFER,,
37_00011,USER,"Ok, when would the onward flight be arriving? Find out if the tickets are refundable?",REQUEST,,
37_00011,SYSTEM,"OK, Unfortunately tickets are non refundable. Your onward flight would arrive at 10:40 am.",INFORM,,
37_00011,USER,That sound good. Go ahead and start a search for round trip flights now.,INFORM_INTENT,SELECT,
37_00011,SYSTEM,Sure. When would you be coming back?,REQUEST,,
37_00011,USER,how about for the 12th of this month.,INFORM,,
37_00011,SYSTEM,"one moment, located 1 flight that is American Airlines outbound, leaving at 4:05 am. The return flight would leave at 9:40 am. This ticket costs $356.",OFFER,,
37_00011,USER,"ok, When would my return flight arrive?",REQUEST,,
37_00011,SYSTEM,Flight would arrive at 7:58 am.,INFORM,,
37_00011,USER,ok. it's a short trip for me. Can you please assist me purchasing the tickets?,INFORM_INTENT,SELECT,
37_00011,SYSTEM,one moment. Please confirm: Departing Paris to Los Angeles on American Airlines on March 10th. Return date is March 12th with onward flight leaving at 4:05 am and return flight leaving at 9:40 am. Seating would be Economy class for 3 passengers. Does this sound right?,CONFIRM,,
37_00011,USER,Yes. sounds perfect.,AFFIRM,,
37_00011,SYSTEM,Great. Your tickets are confirmed.,NOTIFY_SUCCESS,,
37_00011,USER,"ok, great. find out when the onward flight would arrive.",REQUEST,,
37_00011,SYSTEM,"sure, onward flight will arrive at 10:40 am.",INFORM,,
37_00011,USER,Thanks for that information.,THANK_YOU,,
37_00011,SYSTEM,your welcome. Shall I help with anything else?,REQ_MORE,,
37_00011,USER,Nope. thats it.,NEGATE,THANK_YOU,
37_00011,SYSTEM,ok. have a wonderful day.,GOODBYE,,
37_00012,USER,Could you retrieve one way flights?,INFORM_INTENT,,
37_00012,SYSTEM,When would you like to leave?,REQUEST,,
37_00012,USER,I will leave on the 6th of this month.,INFORM,,
37_00012,SYSTEM,Where do you want to leave from and where do you want to go?,REQUEST,,
37_00012,USER,I will leave from Portland and am going to Paris.,INFORM,,
37_00012,SYSTEM,How about this Alaska Airlines flight leaving at 10:10 am? It has 1 stop and costs $399.,OFFER,,
37_00012,USER,Could you find something else? I have two people in my group.,INFORM,REQUEST_ALTS,
37_00012,SYSTEM,I have 1 flight that is suitable. It is an American Airlines flight. It leaves at 7:20 am and has 1 stop. It costs $337.,OFFER,,
37_00012,USER,Could I get a refund if necessary?,REQUEST,,
37_00012,SYSTEM,"No, that ticket cannot be refunded.",INFORM,,
37_00012,USER,"Well, the flight sounds good anyway.",SELECT,,
37_00012,SYSTEM,So you want tickets?,OFFER_INTENT,,
37_00012,USER,"No, actually, do not buy tickets. Could you look for round trip flights for me?",INFORM_INTENT,NEGATE_INTENT,
37_00012,SYSTEM,When do you want to come back?,REQUEST,,
37_00012,USER,I want to get back next Friday.,INFORM,,
37_00012,SYSTEM,I found 1 good flight for your trip. How about an American Airlines flight? The outbound leaves 7:20 am and the return leaves at 4:05 am. The ticket costs $371.,OFFER,,
37_00012,USER,Which airport does the flight leve from and when does the outbound flight arrives?,REQUEST,,
37_00012,SYSTEM,The flight leaves from PDX International Airport and the outbound flight arrives at 8:53 am.,INFORM,,
37_00012,USER,That flight sounds nice.,SELECT,,
37_00012,SYSTEM,Could I buy tickets for it?,OFFER_INTENT,,
37_00012,USER,No that is all I needed.,NEGATE_INTENT,GOODBYE,
37_00012,SYSTEM,Have a good one.,GOODBYE,,
37_00013,USER,I'm looking for one-way flights can you help?,INFORM_INTENT,,
37_00013,SYSTEM,Where are you leaving from and where is your destination?,REQUEST,,
37_00013,USER,"I am travelling with 4 friends from Atlanta, GA to London, UK.",INFORM,,
37_00013,SYSTEM,When are you planning to leave?,REQUEST,,
37_00013,USER,I'm leaving on the 11th.,INFORM,,
37_00013,SYSTEM,There are 4 flights that meet your criteria. There is an American Airlines flight that leaves at 8:40 pm and has 0 stops. The ticket price is $205.,OFFER,,
37_00013,USER,Are there any other flights?,REQUEST_ALTS,,
37_00013,SYSTEM,I have found a Delta Airlines flight that leaves at 5:30 pm and has 0 stops. The cost of a ticket for this flight is $260.,OFFER,,
37_00013,USER,Are there any options to travel with United Airlines in any class?,INFORM,,REQUEST_ALTS
37_00013,SYSTEM,There is 1 suitable flight with United Airlines which leaves at 10:30 am and has 0 stops. The cost of a ticket is $386.,OFFER,,
37_00013,USER,Which Airport does the flight leave from?,REQUEST,,
37_00013,SYSTEM,The flight departs from Hartsfield-Jackson International Airport.,INFORM,,
37_00013,USER,Sounds great.,SELECT,,
37_00013,SYSTEM,Would you like to purchase tickets for this flight?,OFFER_INTENT,,
37_00013,USER,No thanks.,NEGATE_INTENT,,
37_00013,SYSTEM,Do you need help with anything else?,REQ_MORE,,
37_00013,USER,I'd like to look at round trip flights.,INFORM_INTENT,,
37_00013,SYSTEM,When are you looking to return?,REQUEST,,
37_00013,USER,I want to come back on the 13th of this month.,INFORM,,
37_00013,SYSTEM,have found 1 flight with United Airlines that meets your criteria. It leaves at 10:30 am and returns at 10:25 pm. The cost per ticket is $408.,OFFER,,
37_00013,USER,Which airport does the flight leave from?,REQUEST,,
